D:\Anaconda\python.exe D:/home/zeewei/projects/77GRadar/model/rnn/rnn_train.py
0000 	 train_loss:0.6191493272781372 	 test_loss: 0.5359727144241333 	 test_min_loss: 0.5359727144241333 	 difference: -0.0831766128540039 	 st1_acc:0.0 	 st2_acc:0.0 	 st3_acc:0.0
0025 	 train_loss:0.08366524055600166 	 test_loss: 0.08499075472354889 	 test_min_loss: 0.08499075472354889 	 difference: 0.001325514167547226 	 st1_acc:0.0 	 st2_acc:0.02572801809443031 	 st3_acc:0.02572801809443031
0050 	 train_loss:0.08069581538438797 	 test_loss: 0.08185847848653793 	 test_min_loss: 0.08185847848653793 	 difference: 0.0011626631021499634 	 st1_acc:0.0 	 st2_acc:0.0 	 st3_acc:0.0
0075 	 train_loss:0.08049213886260986 	 test_loss: 0.08157814294099808 	 test_min_loss: 0.08157814294099808 	 difference: 0.0010860040783882141 	 st1_acc:0.0 	 st2_acc:0.0 	 st3_acc:0.0
0100 	 train_loss:0.08047767356038094 	 test_loss: 0.08154398202896118 	 test_min_loss: 0.08154398202896118 	 difference: 0.001066308468580246 	 st1_acc:0.0 	 st2_acc:0.0 	 st3_acc:0.0
0125 	 train_loss:0.08047366514801979 	 test_loss: 0.08154067397117615 	 test_min_loss: 0.08154067397117615 	 difference: 0.0010670088231563568 	 st1_acc:0.0 	 st2_acc:0.0 	 st3_acc:0.0
0150 	 train_loss:0.08046716079115868 	 test_loss: 0.08154182136058807 	 test_min_loss: 0.08154067397117615 	 difference: 0.0010746605694293976 	 st1_acc:0.0 	 st2_acc:0.0 	 st3_acc:0.0
0175 	 train_loss:0.08045351877808571 	 test_loss: 0.08154168725013733 	 test_min_loss: 0.08154067397117615 	 difference: 0.0010881684720516205 	 st1_acc:0.0 	 st2_acc:0.0 	 st3_acc:0.0
0200 	 train_loss:0.08041667193174362 	 test_loss: 0.08152944594621658 	 test_min_loss: 0.08152944594621658 	 difference: 0.0011127740144729614 	 st1_acc:0.0 	 st2_acc:0.0 	 st3_acc:0.0
0225 	 train_loss:0.08031139895319939 	 test_loss: 0.08147743344306946 	 test_min_loss: 0.08147743344306946 	 difference: 0.0011660344898700714 	 st1_acc:0.0 	 st2_acc:0.0 	 st3_acc:0.0
0250 	 train_loss:0.07964993640780449 	 test_loss: 0.08098722994327545 	 test_min_loss: 0.08098722994327545 	 difference: 0.0013372935354709625 	 st1_acc:0.0 	 st2_acc:0.0 	 st3_acc:0.0
0275 	 train_loss:0.07465562969446182 	 test_loss: 0.07698498666286469 	 test_min_loss: 0.07698498666286469 	 difference: 0.0023293569684028625 	 st1_acc:0.0 	 st2_acc:0.02572801809443031 	 st3_acc:0.02572801809443031
0300 	 train_loss:0.06784369796514511 	 test_loss: 0.07469920068979263 	 test_min_loss: 0.07469920068979263 	 difference: 0.006855502724647522 	 st1_acc:0.0 	 st2_acc:0.02445575346338705 	 st3_acc:0.19508057675996607
0325 	 train_loss:0.06237120367586613 	 test_loss: 0.07574141025543213 	 test_min_loss: 0.07469920068979263 	 difference: 0.013370206579566002 	 st1_acc:0.0 	 st2_acc:0.003816793893129771 	 st3_acc:0.3197625106022053
0350 	 train_loss:0.060089895501732826 	 test_loss: 0.07659047096967697 	 test_min_loss: 0.07469920068979263 	 difference: 0.016500575467944145 	 st1_acc:0.0 	 st2_acc:0.006361323155216285 	 st3_acc:0.3418150975402884
0375 	 train_loss:0.058086639270186424 	 test_loss: 0.07874400913715363 	 test_min_loss: 0.07469920068979263 	 difference: 0.0206573698669672 	 st1_acc:0.0 	 st2_acc:0.015549901046084252 	 st3_acc:0.39638111393836584
0400 	 train_loss:0.05334591865539551 	 test_loss: 0.07768898457288742 	 test_min_loss: 0.07469920068979263 	 difference: 0.024343065917491913 	 st1_acc:0.0 	 st2_acc:0.020780322307039863 	 st3_acc:0.4368108566581849
0425 	 train_loss:0.051857100799679756 	 test_loss: 0.08061304688453674 	 test_min_loss: 0.07469920068979263 	 difference: 0.028755946084856987 	 st1_acc:0.0 	 st2_acc:0.02275940062199604 	 st3_acc:0.4657902176986147
0450 	 train_loss:0.04838242568075657 	 test_loss: 0.0773911401629448 	 test_min_loss: 0.07469920068979263 	 difference: 0.029008714482188225 	 st1_acc:0.0 	 st2_acc:0.016115351993214587 	 st3_acc:0.6376873056262369
0475 	 train_loss:0.04630400240421295 	 test_loss: 0.07640036195516586 	 test_min_loss: 0.07469920068979263 	 difference: 0.03009635955095291 	 st1_acc:0.0 	 st2_acc:0.018094430308170765 	 st3_acc:0.6215719536330223
0500 	 train_loss:0.045127056539058685 	 test_loss: 0.07515953481197357 	 test_min_loss: 0.07469920068979263 	 difference: 0.030032478272914886 	 st1_acc:0.0 	 st2_acc:0.014843087362171332 	 st3_acc:0.679106587503534
0525 	 train_loss:0.04385904781520367 	 test_loss: 0.07397747039794922 	 test_min_loss: 0.07397747039794922 	 difference: 0.030118422582745552 	 st1_acc:0.0 	 st2_acc:0.012581283573649986 	 st3_acc:0.7029968900197908
0550 	 train_loss:0.043691376224160194 	 test_loss: 0.07285802811384201 	 test_min_loss: 0.07285802811384201 	 difference: 0.029166651889681816 	 st1_acc:0.0 	 st2_acc:0.01964942041277919 	 st3_acc:0.6096974837432853
0575 	 train_loss:0.044005563482642174 	 test_loss: 0.07486985623836517 	 test_min_loss: 0.07285802811384201 	 difference: 0.030864292755723 	 st1_acc:0.0 	 st2_acc:0.02261803788521346 	 st3_acc:0.5043822448402601
